strategy,symbol,train_rank,train_sharpe,train_return_pct,overfit_pct,p_fast_ma,p_slow_ma,p_rsi_period,p_vol_threshold,total_return_pct,cagr_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,total_trades,win_rate_pct,profit_factor,buy_hold_return_pct,vs_benchmark_pct,p_bb_period,p_bb_std,p_rsi_oversold,p_rsi_overbought,p_lookback,p_atr_mult,p_rsi_buy,p_rsi_sell
momentum,US.SPY,10,-0.2859,21.44,174.0,5.0,20.0,10.0,1.3,22.93,6.3,7.76,0.2116,0.2972,0.8112,16,37.5,2.7375,86.09,-63.16,,,,,,,,
mean_reversion,US.QQQ,8,0.0334,39.96,-500.3,,,14.0,,24.46,6.69,10.74,0.2005,0.3216,0.6227,26,73.08,3.4058,132.17,-107.72,15.0,1.5,25.0,75.0,,,,
mean_reversion,US.QQQ,7,0.0334,39.96,-500.3,,,14.0,,24.46,6.69,10.74,0.2005,0.3216,0.6227,26,73.08,3.4058,132.17,-107.72,15.0,1.5,25.0,70.0,,,,
momentum,US.TNA,9,0.0404,-6.52,-395.8,5.0,15.0,14.0,1.0,22.46,6.18,50.83,0.2003,0.3083,0.1215,27,37.04,1.2595,62.79,-40.33,,,,,,,,
momentum,US.SOXL,3,0.4952,276.53,59.7,8.0,15.0,14.0,1.3,11.46,3.26,56.35,0.1998,0.2767,0.0579,20,55.0,1.1211,652.72,-641.26,,,,,,,,
mean_reversion,US.TNA,1,0.2012,38.21,2.7,,,10.0,,20.91,5.78,44.83,0.1957,0.2879,0.1289,26,61.54,1.2743,62.79,-41.88,15.0,2.0,30.0,70.0,,,,
mean_reversion,US.TNA,2,0.2012,38.21,2.7,,,10.0,,20.91,5.78,44.83,0.1957,0.2879,0.1289,26,61.54,1.2743,62.79,-41.88,15.0,2.0,30.0,75.0,,,,
rsi_reversal,US.QQQ,2,-0.2692,1.95,169.4,,,5.0,,24.17,6.61,17.68,0.1867,0.2855,0.3739,62,53.23,1.6207,132.17,-108.0,,,,,,,25.0,75.0
rsi_reversal,US.QQQ,1,-0.2692,1.95,169.4,,,5.0,,24.17,6.61,17.68,0.1867,0.2855,0.3739,62,53.23,1.6207,132.17,-108.0,,,,,,,25.0,70.0
momentum,US.SPY,7,-0.2636,20.95,169.7,8.0,20.0,14.0,1.0,22.25,6.12,10.65,0.1838,0.2492,0.5749,18,55.56,2.8311,86.09,-63.84,,,,,,,,
momentum,US.SPY,8,-0.2737,21.96,165.2,5.0,15.0,14.0,1.3,21.75,5.99,10.09,0.1785,0.2516,0.5938,20,50.0,2.2216,86.09,-64.34,,,,,,,,
mean_reversion,US.QQQ,1,0.177,65.06,1.4,,,14.0,,23.02,6.32,10.96,0.1746,0.2921,0.5768,16,68.75,4.4698,132.17,-109.15,15.0,2.0,25.0,70.0,,,,
