return_pct,sharpe,max_dd,trades,trades_per_day,win_rate,avg_win,avg_loss,profit_factor,n_days,symbol,strategy,train_sharpe,val_sharpe,val_return,val_trades,val_wr,overfit,verdict,p_move_threshold_pct,p_entry_bar_idx,p_stop_pct,p_confirm_bars,p_rsi_floor,p_stop_atr_mult,p_min_bars_before_entry
81.13,0.3307,5.43,255,0.1,71.4,0.624,0.69,2.255,2511,US.TQQQ,Rebalance_2pm,,,,,,,,3.0,48.0,1.0,,,,
63.06,0.3247,84.15,2093,0.83,55.3,3.401,3.922,1.074,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,2.0,40.0,2.0,9.0
76.3,0.3246,79.98,2088,0.83,54.5,3.229,3.599,1.077,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,3.0,50.0,1.0,6.0
74.06,0.3226,80.2,2088,0.83,54.6,3.222,3.606,1.076,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,4.0,50.0,1.0,6.0
54.67,0.3165,84.9,2093,0.83,55.3,3.399,3.926,1.072,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,3.0,40.0,2.0,9.0
53.38,0.3151,85.09,2093,0.83,55.2,3.404,3.91,1.072,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,2.0,40.0,1.5,9.0
52.71,0.3146,85.07,2093,0.83,55.4,3.392,3.934,1.072,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,4.0,40.0,2.0,9.0
131.53,0.3134,66.31,2318,0.92,56.8,2.202,2.69,1.077,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,3.0,50.0,2.0,6.0
122.89,0.3109,64.02,2320,0.92,56.6,2.307,2.804,1.075,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,3.0,45.0,2.0,9.0
120.13,0.3096,61.53,2320,0.92,56.5,2.334,2.819,1.074,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,3.0,40.0,2.0,9.0
126.65,0.3089,66.43,2318,0.92,56.8,2.201,2.691,1.076,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,4.0,50.0,2.0,6.0
126.18,0.3085,66.18,2319,0.92,56.7,2.206,2.681,1.076,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,2.0,50.0,2.0,6.0
120.11,0.3084,63.82,2321,0.92,56.5,2.313,2.795,1.074,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,2.0,45.0,2.0,9.0
117.38,0.3071,61.31,2321,0.92,56.3,2.34,2.809,1.074,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,2.0,40.0,2.0,9.0
45.49,0.3069,85.8,2093,0.83,55.2,3.402,3.913,1.071,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,3.0,40.0,1.5,9.0
117.41,0.3058,64.22,2320,0.92,56.6,2.305,2.804,1.074,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,4.0,45.0,2.0,9.0
48.45,0.3056,85.11,2088,0.83,55.7,3.319,3.896,1.071,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,2.0,50.0,2.0,9.0
43.64,0.305,85.96,2093,0.83,55.3,3.395,3.921,1.07,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,4.0,40.0,1.5,9.0
116.47,0.3049,64.02,2320,0.92,56.5,2.31,2.79,1.074,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,3.0,45.0,1.5,9.0
113.97,0.3037,61.87,2320,0.92,56.5,2.332,2.819,1.073,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,4.0,40.0,2.0,9.0
113.78,0.3036,61.53,2320,0.92,56.3,2.337,2.805,1.073,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,3.0,40.0,1.5,9.0
113.76,0.3024,63.82,2321,0.92,56.3,2.315,2.781,1.073,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,2.0,45.0,1.5,9.0
119.57,0.3022,66.31,2318,0.92,56.6,2.205,2.675,1.075,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,3.0,50.0,1.5,6.0
119.57,0.3016,64.62,2320,0.92,54.6,2.243,2.504,1.076,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,3.0,45.0,1.0,6.0
111.11,0.3011,61.31,2321,0.92,56.1,2.343,2.796,1.073,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,2.0,40.0,1.5,9.0
111.14,0.2997,64.22,2320,0.92,56.5,2.308,2.791,1.073,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,4.0,45.0,1.5,9.0
41.41,0.298,85.78,2088,0.83,55.7,3.317,3.899,1.069,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,3.0,50.0,2.0,9.0
107.8,0.2977,61.87,2320,0.92,56.3,2.335,2.805,1.072,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,4.0,40.0,1.5,9.0
114.95,0.2977,66.43,2318,0.92,56.6,2.203,2.676,1.074,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,4.0,50.0,1.5,6.0
115.37,0.2975,64.8,2320,0.92,54.6,2.242,2.505,1.075,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,4.0,45.0,1.0,6.0
114.5,0.2972,66.18,2319,0.92,56.4,2.209,2.667,1.074,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,2.0,50.0,1.5,6.0
114.92,0.2971,64.68,2321,0.92,54.4,2.248,2.496,1.075,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,2.0,45.0,1.0,6.0
39.62,0.2961,85.93,2088,0.83,55.8,3.309,3.908,1.069,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,4.0,50.0,2.0,9.0
39.64,0.2959,86.0,2088,0.83,55.6,3.321,3.883,1.069,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,2.0,50.0,1.5,9.0
39.67,0.292,81.41,2093,0.83,54.1,3.303,3.636,1.07,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,2.0,40.0,1.0,6.0
33.02,0.2883,86.62,2088,0.83,55.6,3.319,3.887,1.068,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,3.0,50.0,1.5,9.0
31.33,0.2863,86.77,2088,0.83,55.7,3.312,3.895,1.067,2511,US.SOXL,VWAP_Trend,,,,,,,,,,,4.0,50.0,1.5,9.0
101.82,0.2848,62.71,2320,0.92,54.4,2.265,2.524,1.072,2511,US.TQQQ,VWAP_Trend,,,,,,,,,,,3.0,40.0,1.0,6.0
